"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "JSON", "XML", "Markdown", "HTML", "comment", "blank", "total"
"/Users/hsm/react-app/worldwise/src/index.css", "CSS", 0, 58, 0, 0, 0, 0, 0, 10, 11, 79
"/Users/hsm/react-app/worldwise/src/main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/hsm/react-app/worldwise/src/pages/AppLayout.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/hsm/react-app/worldwise/src/pages/AppLayout.module.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/hsm/react-app/worldwise/src/pages/Homepage.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/hsm/react-app/worldwise/src/pages/Homepage.module.css", "CSS", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/hsm/react-app/worldwise/src/pages/Login.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 0, 0, 1, 7, 58
"/Users/hsm/react-app/worldwise/src/pages/Login.module.css", "CSS", 0, 22, 0, 0, 0, 0, 0, 1, 4, 27
"/Users/hsm/react-app/worldwise/src/pages/PageNotFound.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/hsm/react-app/worldwise/src/pages/Pricing.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 1, 2, 27
"/Users/hsm/react-app/worldwise/src/pages/Product.jsx", "JavaScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/hsm/react-app/worldwise/src/pages/Product.module.css", "CSS", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/hsm/react-app/worldwise/src/pages/ProtectedRoute.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/hsm/react-app/worldwise/vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 916, 508, 56, 6256, 1874, 5, 13, 41, 565, 10234
